date,cases,deaths,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
2021-04-07,13193205.0,340776,-34.0,17.0,-38.0,-28.0,-12.0,11.0
2021-04-08,13279857.0,345025,-33.0,23.0,-34.0,-26.0,-11.0,10.0
2021-04-09,13373174.0,348718,-33.0,25.0,-36.0,-24.0,-8.0,10.0
2021-04-10,13445006.0,351334,-37.0,23.0,-41.0,-26.0,-3.0,9.0
2021-04-11,13482023.0,353137,-49.0,5.0,-46.0,-35.0,-6.0,10.0
2021-04-12,13517808.0,354617,-33.0,14.0,-40.0,-25.0,-6.0,10.0
2021-04-13,13599994.0,358425,-34.0,14.0,-42.0,-26.0,-10.0,10.0
2021-04-14,13673507.0,361884,-32.0,14.0,-35.0,-24.0,-9.0,10.0
2021-04-15,13746681.0,365444,-32.0,19.0,-33.0,-23.0,-8.0,10.0
2021-04-16,13832455.0,368749,-32.0,21.0,-35.0,-21.0,-5.0,10.0
2021-04-17,13900091.0,371678,-35.0,20.0,-43.0,-25.0,-1.0,9.0
2021-04-18,13943071.0,373335,-46.0,6.0,-48.0,-33.0,-3.0,10.0
2021-04-19,13973695.0,374682,-30.0,13.0,-42.0,-22.0,-3.0,9.0
2021-04-20,14043076.0,378003,-26.0,24.0,-38.0,-21.0,-7.0,8.0
2021-04-21,14122795.0,381475,-45.0,-4.0,-33.0,-47.0,-51.0,19.0
2021-04-22,14167973.0,383502,-29.0,21.0,-33.0,-21.0,-5.0,9.0
2021-04-23,14237078.0,386416,-28.0,23.0,-32.0,-20.0,-5.0,10.0
2021-04-24,14308215.0,389492,-29.0,22.0,-34.0,-20.0,2.0,8.0
2021-04-25,14340787.0,390797,-40.0,8.0,-39.0,-28.0,1.0,9.0
2021-04-26,14369423.0,391936,-28.0,15.0,-38.0,-19.0,0.0,9.0
2021-04-27,14441563.0,395022,-28.0,16.0,-38.0,-20.0,-5.0,9.0
2021-04-28,14521289.0,398185,-26.0,17.0,-32.0,-19.0,-4.0,9.0
2021-04-29,14590678.0,401186,-26.0,22.0,-31.0,-19.0,-3.0,9.0
2021-04-30,14659011.0,403781,-20.0,37.0,-30.0,-13.0,0.0,7.0
2021-05-01,14725975.0,406437,-34.0,14.0,-31.0,-26.0,-22.0,10.0
2021-05-02,14754910.0,407639,-32.0,21.0,-33.0,-24.0,2.0,8.0
2021-05-03,14779529.0,408622,-21.0,26.0,-35.0,-16.0,0.0,8.0
2021-05-04,14856888.0,411588,-23.0,25.0,-36.0,-16.0,-3.0,8.0
2021-05-05,14930183.0,414399,-21.0,24.0,-30.0,-16.0,-3.0,8.0
2021-05-06,15003563.0,416949,-20.0,31.0,-28.0,-14.0,-2.0,7.0
2021-05-07,15082449.0,419114,-14.0,42.0,-30.0,-10.0,2.0,7.0
2021-05-08,15145879.0,421316,-8.0,51.0,-34.0,-6.0,7.0,5.0
2021-05-09,15184790.0,422340,-26.0,33.0,-43.0,-15.0,18.0,4.0
2021-05-10,15209990.0,423229,-21.0,26.0,-35.0,-14.0,0.0,7.0
2021-05-11,15282705.0,425540,-22.0,26.0,-34.0,-15.0,-3.0,8.0
2021-05-12,15359397.0,428034,-22.0,22.0,-32.0,-15.0,-3.0,9.0
2021-05-13,15433989.0,430417,-24.0,26.0,-31.0,-16.0,-4.0,9.0
2021-05-14,15519525.0,432628,-20.0,31.0,-30.0,-12.0,0.0,8.0
2021-05-15,15586534.0,434715,-18.0,32.0,-31.0,-11.0,4.0,7.0
2021-05-16,15627475.0,435751,-29.0,21.0,-33.0,-20.0,6.0,8.0
2021-05-17,15657391.0,436537,-22.0,24.0,-32.0,-13.0,3.0,8.0
2021-05-18,15732836.0,439050,-23.0,24.0,-33.0,-14.0,-1.0,8.0
2021-05-19,15812055.0,441691,-21.0,24.0,-24.0,-16.0,-1.0,8.0
2021-05-20,15894094.0,444094,-21.0,32.0,-20.0,-15.0,0.0,8.0
2021-05-21,15970949.0,446309,-20.0,33.0,-22.0,-10.0,3.0,8.0
2021-05-22,16047439.0,448208,-24.0,27.0,-31.0,-15.0,6.0,8.0
2021-05-23,16083258.0,449068,-33.0,18.0,-33.0,-23.0,6.0,9.0
2021-05-24,16120756.0,449858,-24.0,23.0,-30.0,-14.0,2.0,9.0
2021-05-25,16194209.0,452031,-23.0,27.0,-27.0,-14.0,0.0,8.0
2021-05-26,16274695.0,454429,-21.0,26.0,-20.0,-14.0,0.0,8.0
2021-05-27,16342162.0,456674,-21.0,30.0,-17.0,-13.0,1.0,8.0
2021-05-28,16391930.0,459045,-19.0,35.0,-20.0,-9.0,5.0,8.0
2021-05-29,16471600.0,461057,-20.0,33.0,-23.0,-10.0,9.0,7.0
2021-05-30,16515120.0,461931,-33.0,20.0,-36.0,-25.0,6.0,9.0
2021-05-31,16545554.0,462791,-22.0,29.0,-31.0,-15.0,5.0,9.0
2021-06-01,16624480.0,465199,-18.0,37.0,-25.0,-12.0,1.0,8.0
2021-06-02,16720081.0,467706,-12.0,41.0,-13.0,-8.0,2.0,6.0
2021-06-03,16803472.0,469388,-33.0,18.0,3.0,-36.0,-47.0,16.0
2021-06-04,16841408.0,470842,-14.0,45.0,-8.0,-13.0,-8.0,9.0
2021-06-05,16907425.0,472531,-17.0,38.0,-13.0,-9.0,6.0,7.0
2021-06-06,16947062.0,473404,-28.0,24.0,-26.0,-17.0,7.0,7.0
2021-06-07,16984218.0,474414,-17.0,36.0,-28.0,-11.0,5.0,8.0
2021-06-08,17037129.0,476792,-16.0,39.0,-27.0,-11.0,2.0,8.0
2021-06-09,17122877.0,479515,-13.0,37.0,-17.0,-10.0,3.0,8.0
2021-06-10,17210969.0,482019,-15.0,38.0,-19.0,-10.0,3.0,8.0
2021-06-11,17296118.0,484235,-12.0,42.0,-19.0,-7.0,6.0,7.0
