,Date,holiday,R0,Rt,R0_ma7,Rt_ma7,R0_ma14,Rt_ma14,casos,mortes
154,2020-07-29,0,0.09403963357712694,0.07499450662643467,0.8975107482860777,0.5841560659527734,1.0663173581057959,0.5118230007495345,55451,1199
155,2020-07-30,0,1.7299277432018245,1.7093652599573883,0.9893449258386916,0.6736297790939654,1.0444218114863202,0.6326806703826959,58055,1202
156,2020-07-31,0,2.4933108261347523,2.4837896519794147,0.931190656746666,0.6173512456895625,0.9499362250451558,0.6051523434106835,53264,1267
157,2020-08-01,0,0.7640345606241287,0.027089605913382088,0.9108926304444216,0.6194328451673199,0.9239447329713225,0.6059099416215247,41541,941
158,2020-08-02,0,0.8369780586128539,0.020482696413423564,0.9149394718214049,0.6203394820723664,0.9211602911448381,0.60630273972383,24066,524
159,2020-08-03,0,0.7312961862156243,0.018704581865140686,0.9629907791984827,0.6210523143401198,0.9275260990123587,0.6060053649609444,20106,602
160,2020-08-04,0,0.03518176334814074,0.009855526325124715,0.9549669673877789,0.6206116898686153,0.928488476727477,0.6055131467892837,56283,1358
161,2020-08-05,0,0.1845334213855453,0.1788875634869779,0.9678946513604101,0.6354535551344073,0.9327026998232438,0.6098048105435906,56169,1366
162,2020-08-06,0,1.4776675777694528,1.4724618069990538,0.9318574848700713,0.6016102047117879,0.9606012053543813,0.6376199919028769,53989,1226
163,2020-08-07,0,1.9440181883959031,0.17456260943751,0.8533871080502357,0.27172062720580165,0.8922888823984507,0.44453593644768225,49403,1085
164,2020-08-08,0,0.8766342535220162,0.016519263813920375,0.8694727784642194,0.27021057833444995,0.8901827044543206,0.4448217117508851,46389,827
165,2020-08-09,0,0.764673252946039,0.01992042872212935,0.8591435205118173,0.27013025437855076,0.8870414961666112,0.4452348682254588,22730,569
166,2020-08-10,0,0.4315838385562316,0.013949059640525369,0.8163274708461898,0.26945089406074857,0.8896591250223362,0.44525160420043436,26506,789
167,2020-08-11,0,0.013688569251569683,0.010190068073146123,0.8132570145466796,0.26949868573903735,0.8841119909672293,0.4450551878038266,50520,1194
168,2020-08-12,0,0.06997608454347617,0.06758396438385386,0.7968916807120984,0.2535981715814482,0.8823931660362543,0.44452586335792793,54954,1184
169,2020-08-13,0,1.5628562643262525,1.34486928318029,0.8090614930773554,0.23537066817876767,0.8704594889737133,0.41849043644527806,60713,1242
170,2020-08-14,0,1.4655830001283796,0.2492211599362736,0.7407136090391379,0.24603617539287678,0.7970503585446868,0.25887840129933937,49407,1007
171,2020-08-15,0,0.563277069683019,0.025359119155293885,0.6959482970621382,0.24729901187021583,0.7827105377631789,0.25875479510233307,36881,723
172,2020-08-16,0,0.6006982786506683,0.015157835318794338,0.6725233007342281,0.24661864138402514,0.7658334106230227,0.2583744478812881,23006,587
173,2020-08-17,0,0.37154250632467656,0.018009318315684923,0.6639459675582918,0.24719867833761935,0.7401367192022408,0.25832478619918414,24397,796
174,2020-08-18,0,0.014844043949173887,0.010077461367600023,0.6641110353722351,0.24718259166539847,0.7386840249594574,0.25834063870221813,49264,1352
175,2020-08-19,0,0.32691226493666986,0.31176488484424975,0.7008162039998342,0.2820655803025979,0.7488539423559663,0.26783187594202323,48603,1163
176,2020-08-20,0,1.770315839642058,1.539560153397275,0.7304532861878065,0.30987856176216716,0.769757389632581,0.2726246149704676,42974,1237
177,2020-08-21,0,1.825272079745888,1.7866580499581763,0.7818374404188789,0.5295124031938675,0.7612755247290084,0.3877742892933723,32326,1051
